sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0012555232420514639,0.0020075047275425048,0.0642159157807625,0.021417399459769774,0.0005125157288221728,0.011858806340315779,0.014562176539954218,0.025617857183992784,0.05957507185122789,0.00039661532049978547
S0767,0.20954709606988423,0.23024885017530874,6.182558894939554e-05,0.05130202001070181,0.0002605944217904371,0.13962700410259368,0.5901658964382246,0.6736654430387896,0.03561087674602568,0.03341704102295058
S0768,0.7011792116352146,0.5521458227598817,0.0003576504591961722,0.2912631065600579,0.0008816234038215304,0.43977349259374277,0.8811767744103068,0.7579801575557076,0.1492038152021623,4.162232840116781e-06
S0769,0.2916194395054835,0.09173391922796575,0.03474033609992289,0.05762920488563665,0.0003595323526924649,0.9871084726396787,0.09031678208947737,0.03503501173223326,0.45641445709197564,0.0029373243543630895
S0770,0.00024020264680738677,0.0027949290079703998,0.058496443212175814,0.3250225757767657,0.0006650641093504145,0.8266676116228305,0.6704857042819357,0.0014891371129711092,0.0020530097319117783,0.016784377442296952
S0771,0.29180224896899437,0.06028871845089464,0.045067578093050197,0.40622244323096984,0.013420580436196103,0.15218436362018675,0.23445533387658762,0.3428718496542491,0.05426388396443749,8.960438768129292e-05
S0772,0.2191549854168094,0.022852335831336668,0.0035275254090574824,0.05601525982336617,0.00014165498687514482,0.1568953254899873,0.6294600825880765,0.08866116555039956,0.06484934648921512,0.0007163451692454911
S0773,0.11394871091410982,0.07041268180376549,0.01854409445737267,0.14240516697569666,0.0002589169126882889,0.13152297557454878,0.15901143427414274,0.12428663528996876,0.02358791561591107,0.002347224411492274
S0774,0.1628774326509379,0.012564398132767177,0.02885550640682711,0.03731955953717994,0.00017844225467942928,0.006078244511989053,0.7053105032183308,0.11655642103222331,0.0259424642226442,3.033717502625841e-05
S0775,0.02493454509741599,0.008370829603394738,0.08298536717304188,0.16275985108242808,0.00022015544910089719,0.06897309208759199,0.27244617684253314,0.024532430708203636,0.29738348182701224,0.009187622760942286
S0776,0.12051842796116914,0.0030514894415776153,0.6305799434998918,0.044216986397267774,0.00041138725710955043,0.04947588612653738,0.038346161824349266,0.02764387771567209,0.0013595002998469943,0.003613457524672444
S0777,0.06576645400397756,0.08440460598178083,0.37388095435437746,0.26251502213296685,0.00020625015525237652,0.043752885229787375,0.13897510921993456,0.08184839772393414,0.035840777028965,2.5510224029505956e-05
S0778,0.3930231031540992,0.18937471549526122,0.1442424178825977,0.6461541482615162,0.00030826138483616786,0.3193585702918539,0.1353932530991036,0.5788753985728776,0.16080157435724923,5.316813326869787e-05
S0779,0.002362361884404472,0.000321299455970686,0.763982709997959,0.06059541138042923,0.0002882703817196438,0.00018707259547040374,0.26259738068545546,0.004362752842372093,0.1953976759813362,0.006585899969376217
